the_geom,Region,Zone,LongCode,WeredaCode,district,lat,lng
"MULTIPOLYGON (((40.371410369873104 8.710178375244197, 40.3682212829591 8.705389022827148, 40.36489105224621 8.7003688812257, 40.34362792968756 8.681159019470158, 40.3366584777832 8.664888381958008, 40.324848175048885 8.646338462829647, 40.31374740600586 8.632598876953125, 40.30934906005865 8.62503910064703, 40.29955291748047 8.611634254455566, 40.285789489746094 8.604679107666016, 40.271240234375114 8.589798927307243, 40.26131439208996 8.58259391784668, 40.2472305297851 8.570118904113713, 40.22807693481445 8.55937862396246, 40.222229003906364 8.556058883666992, 40.210308074951286 8.54931926727295, 40.19049835205084 8.550039291381893, 40.182468414306754 8.559009552002067, 40.18572998046881 8.574599266052246, 40.18690872192383 8.585618972778377, 40.188579559326115 8.604199409484977, 40.17686843872076 8.618679046630973, 40.155918121338004 8.624909400940055, 40.12550735473633 8.626809120178336, 40.093246459960994 8.6284694671632, 40.062137603759766 8.628299713134766, 40.04509735107422 8.634529113769531, 40.03567886352539 8.647169113159293, 40.03238677978521 8.655029296875114, 40.02673721313482 8.668529510498047, 40.02517700195324 8.688039779663086, 40.03443908691406 8.70385932922369, 40.05130767822277 8.72012901306158, 40.06841659545893 8.738689422607365, 40.0774879455567 8.765748977661133, 40.08287811279297 8.798099517822322, 40.0891685485841 8.818738937377987, 40.09499740600586 8.840759277343807, 40.09619903564453 8.857278823852482, 40.09449768066406 8.862165451049805, 40.10503005981457 8.876998901367244, 40.120540618896484 8.895778656005916, 40.14091110229492 8.918909072875977, 40.152248382568416 8.931959152221623, 40.16169357299799 8.948583602905273, 40.17533874511719 8.940618515014705, 40.18523788452154 8.935539245605526, 40.19326019287104 8.921758651733455, 40.19966125488287 8.904528617858944, 40.212730407714844 8.884758949279785, 40.22880935668957 8.867279052734432, 40.23564910888672 8.844549179077262, 40.24982833862305 8.831183433532772, 40.26993942260748 8.830228805542049, 40.29272079467768 8.8173189163208, 40.31170654296869 8.823019027710075, 40.3189697265625 8.832768440246582, 40.32321929931646 8.838798522949219, 40.33779907226574 8.856878280639648, 40.34524154663086 8.87382888793951, 40.35020828247076 8.887642860412598, 40.35871887207037 8.879503250122127, 40.3651695251466 8.8726224899292, 40.371620178222656 8.864022254943904, 40.3711891174317 8.848541259765682, 40.371620178222656 8.836501121521053, 40.36861038208019 8.827900886535701, 40.37548828125006 8.803389549255485, 40.37462997436529 8.796509742736873, 40.37333679199219 8.78661918640131, 40.37405395507824 8.769796371460075, 40.36991882324219 8.754718780517521, 40.37559890747076 8.733598709106502, 40.37553787231445 8.716398239135856, 40.371410369873104 8.710178375244197)))",Oromiya,West Hararge,40906,6,Anchar,9.0594,40.8698
"MULTIPOLYGON (((41.149082183838004 8.099371910095329, 41.14546203613281 8.10860729217535, 41.13379287719732 8.118026733398494, 41.09831237792969 8.143787384033146, 41.07150268554693 8.15944671630865, 41.047920227050895 8.178537368774471, 41.019542694091854 8.204277038574276, 40.991840362548885 8.227726936340446, 40.95381164550787 8.253957748413086, 40.92168045043951 8.264827728271541, 40.88953018188471 8.270877838134766, 40.858741760253906 8.274407386779785, 40.83948135375982 8.28500747680664, 40.81658172607416 8.309817314148006, 40.793701171875 8.339218139648438, 40.778282165527344 8.35655689239502, 40.76713943481445 8.369088172912654, 40.74333953857416 8.397578239440975, 40.716999053955135 8.427217483520508, 40.69915008544922 8.45087814331049, 40.67943954467779 8.471338272094783, 40.64363098144531 8.49206829071045, 40.63035202026367 8.510217666625977, 40.61732101440441 8.533408164978027, 40.61024093627941 8.546957969665527, 40.595729827880916 8.561878204345646, 40.598228454589844 8.567277908325252, 40.59452056884777 8.590787887573242, 40.58678054809582 8.613508224487362, 40.576511383056754 8.6353178024292, 40.571769714355526 8.659407615661735, 40.572570800781364 8.687148094177246, 40.58094024658209 8.707978248596191, 40.60222244262701 8.730378150940055, 40.62142181396496 8.75025749206543, 40.63465118408203 8.774968147277775, 40.64278030395508 8.791667938232536, 40.65870666503906 8.800667762756348, 40.68813323974615 8.806237220764217, 40.68772125244146 8.800217628479118, 40.69620132446295 8.792157173156738, 40.70354080200207 8.78548717498785, 40.71939086914068 8.778317451477108, 40.737541198730526 8.769087791442814, 40.746891021728516 8.751407623291072, 40.75026321411144 8.731907844543457, 40.756660461425895 8.722947120666618, 40.77777099609381 8.708427429199332, 40.803230285644474 8.690227508545036, 40.82180023193365 8.675957679748592, 40.84502029418951 8.670597076415959, 40.87423324584972 8.668646812438965, 40.896762847900504 8.666497230529899, 40.923622131347656 8.654936790466365, 40.9412727355957 8.64157676696783, 40.965553283691406 8.620177268981934, 40.98589324951183 8.594206809997559, 41.00231170654308 8.56734657287609, 41.01692199707037 8.544157028198356, 41.03656387329113 8.518197059631348, 41.05369186401373 8.495686531067008, 41.067401885986385 8.477537155151424, 41.08707046508795 8.458907127380485, 41.110931396484375 8.449887275695858, 41.14033126831066 8.446326255798454, 41.165843963623104 8.447366714477653, 41.203281402588004 8.445837020874023, 41.230842590332145 8.442506790161133, 41.24529266357433 8.438326835632324, 41.25881195068365 8.438546180725211, 41.25901412963867 8.426366806030273, 41.26555252075201 8.403216361999512, 41.27532196044922 8.38349628448492, 41.29710769653332 8.361579895019531, 41.31166076660162 8.347856521606445, 41.32174301147455 8.344156265258903, 41.33896255493164 8.343396186828613, 41.36030197143555 8.341695785522461, 41.38297271728521 8.329015731811637, 41.406501770019645 8.306936264038086, 41.414672851562614 8.290426254272518, 41.4237632751466 8.271856307983398, 41.44110107421875 8.252336502075195, 41.45634460449219 8.22687625885004, 41.468181610107536 8.208975791931152, 41.4839324951173 8.19266605377203, 41.50654220581066 8.173356056213379, 41.532802581787166 8.149445533752385, 41.5524139404298 8.126945495605469, 41.56765365600586 8.102636337280217, 41.57006454467785 8.081126213073787, 41.5672225952149 8.06490612030035, 41.56463241577154 8.050275802612362, 41.5631942749024 8.03724575042719, 41.563133239746094 8.026266098022518, 41.56308364868164 8.01551628112793, 41.563034057617244 8.006146430969238, 41.54853439331055 7.987716197967643, 41.54658889770519 7.979846000671444, 41.54075241088867 7.972705841064396, 41.533870697021484 7.964325904846248, 41.524467468261776 7.956430912017822, 41.51893234252941 7.9718360900879475, 41.51854324340832 7.977786064148063, 41.53024291992193 8.005355834960994, 41.53210067749035 8.010846138000602, 41.5306510925293 8.042415618896541, 41.527141571045036 8.07353591918951, 41.520393371581974 8.100325584411735, 41.502834320068416 8.120296478271598, 41.47352218627941 8.13231563568121, 41.451930999755916 8.127145767211857, 41.42713165283203 8.122675895690975, 41.394832611083984 8.133096694946289, 41.36778259277355 8.13846683502203, 41.326972961425895 8.146866798400936, 41.29783248901373 8.147436141967887, 41.277790069580135 8.140932083129883, 41.25254058837902 8.132037162780819, 41.21924209594732 8.129186630249023, 41.1928329467774 8.125617027282715, 41.16728973388683 8.112426757812443, 41.149082183838004 8.099371910095329)))",Oromiya,West Hararge,40910,10,Boke,9.3268,41.1677
"MULTIPOLYGON (((41.00793838500988 9.117410659790153, 40.996582031250114 9.108486175537223, 40.98396682739258 9.103755950927678, 40.96504592895519 9.084835052490348, 40.931148529052734 9.05172348022461, 40.92483901977539 9.037532806396598, 40.909862518310604 9.024919509887809, 40.898036956787166 9.028072357177734, 40.88621139526373 9.024919509887809, 40.86729049682623 9.009152412414664, 40.847579956054744 8.986289024353141, 40.84127807617193 8.971734046936035, 40.806221008300895 8.968626976013184, 40.78312301635742 8.954747200012264, 40.757743835449276 8.945466995239258, 40.73973083496094 8.93659782409668, 40.72126007080078 8.9265975952149, 40.703811645507926 8.937897682190055, 40.693733215332145 8.95008754730236, 40.66596221923828 8.971287727355957, 40.64347076416021 8.989027976989746, 40.626979827880916 9.008347511291504, 40.622673034668026 9.023267745971793, 40.61040115356451 9.05862808227539, 40.62727355957037 9.06772708892828, 40.647613525390625 9.079327583313102, 40.66220092773443 9.092787742614746, 40.67953109741205 9.102107048034725, 40.696613311767635 9.106157302856559, 40.7200927734375 9.102617263793945, 40.73401260375982 9.119967460632324, 40.75183105468756 9.133637428283635, 40.768341064453125 9.11911678314209, 40.77860260009777 9.098907470703068, 40.79709243774414 9.109127044677734, 40.80595397949219 9.128796577453613, 40.817790985107536 9.1438570022583, 40.83605194091797 9.153846740722656, 40.856842041015625 9.162906646728516, 40.87121200561535 9.177267074584961, 40.88677215576166 9.19826698303234, 40.903682708740234 9.212606430053768, 40.908794403076115 9.216396331787166, 40.927364349365234 9.204926490783805, 40.9392929077149 9.195926666259766, 40.95365524291992 9.172026634216365, 40.963462829589844 9.156856536865234, 40.97786331176758 9.138906478881779, 40.98894119262695 9.130948066711483, 41.00793838500988 9.117410659790153)))",Oromiya,West Hararge,40913,13,Chiro Zuria,9.1342,40.8731
"MULTIPOLYGON (((40.35238265991222 8.323201179504451, 40.337318420410156 8.343519210815543, 40.32679748535156 8.369688987731877, 40.324577331543026 8.399289131164608, 40.32210922241211 8.423378944396973, 40.322597503662166 8.431408882141227, 40.324020385742244 8.44722843170166, 40.32522964477545 8.466729164123592, 40.326198577880916 8.485528945922965, 40.32811737060547 8.510068893432617, 40.32518768310558 8.53255844116211, 40.31879806518566 8.552528381347713, 40.31840896606451 8.574098587036133, 40.315498352050895 8.603239059448299, 40.29955291748047 8.611634254455566, 40.30934906005865 8.62503910064703, 40.31374740600586 8.632598876953125, 40.324848175048885 8.646338462829647, 40.3366584777832 8.664888381958008, 40.34362792968756 8.681159019470158, 40.36489105224621 8.7003688812257, 40.3682212829591 8.705389022827148, 40.371410369873104 8.710178375244197, 40.390190124511776 8.689288139343262, 40.39455032348644 8.68583869934082, 40.403270721435604 8.67709827423107, 40.41102981567383 8.656898498535213, 40.4167594909668 8.64999866485607, 40.43328857421881 8.632758140563965, 40.454429626464844 8.620548248291072, 40.4845809936524 8.616558074951229, 40.51425933837885 8.61188793182373, 40.54000091552746 8.598288536071834, 40.56686019897461 8.578718185424748, 40.59212875366222 8.56557846069336, 40.595729827880916 8.561878204345646, 40.61024093627941 8.546957969665527, 40.61732101440441 8.533408164978027, 40.63035202026367 8.510217666625977, 40.64363098144531 8.49206829071045, 40.67943954467779 8.471338272094783, 40.69915008544922 8.45087814331049, 40.716999053955135 8.427217483520508, 40.74333953857416 8.397578239440975, 40.76713943481445 8.369088172912654, 40.778282165527344 8.35655689239502, 40.75839233398449 8.355296134948674, 40.747776031494254 8.35593032836914, 40.73715209960943 8.355389595031738, 40.72418212890631 8.35838508605957, 40.71000671386719 8.354920387268066, 40.70524978637707 8.346714019775504, 40.698158264160156 8.344393730163688, 40.69047927856451 8.34266376495367, 40.68454742431652 8.335637092590389, 40.673919677734375 8.333331108093375, 40.662670135498104 8.324563980102482, 40.6473274230957 8.324627876281681, 40.63434600830084 8.324681282043457, 40.60778045654297 8.321264266967773, 40.59656906127924 8.320721626281795, 40.58834457397472 8.330157279968262, 40.57062149047846 8.324938774109, 40.55111312866222 8.31561279296875, 40.5304412841798 8.310991287231559, 40.52216339111334 8.306908607482967, 40.50914001464844 8.295204162597656, 40.51095199584961 8.306364059448242, 40.51100921630871 8.321056365966797, 40.50098419189459 8.323445320129508, 40.49809646606457 8.339324951171932, 40.488117218017635 8.353467941284123, 40.47040176391607 8.35059642791748, 40.446186065673885 8.344807624817008, 40.430206298828125 8.332523345947322, 40.424911499023494 8.337244987487793, 40.413158416748104 8.35021686553955, 40.40260314941412 8.369650840759391, 40.39732742309576 8.379660606384277, 40.38909149169933 8.387331008911133, 40.382003784179744 8.385592460632438, 40.379604339599666 8.374433517455998, 40.374832153320256 8.360343933105582, 40.367115020751896 8.347440719604549, 40.36177444458002 8.339230537414608, 40.35760498046881 8.328077316284293, 40.35238265991222 8.323201179504451)))",Oromiya,West Hararge,40909,9,Daro Lebu,9.4076,41.2648
"MULTIPOLYGON (((41.26589202880871 9.32612323760992, 41.25659561157232 9.320915222167912, 41.250873565673885 9.317395210266227, 41.24033355712902 9.3106050491333, 41.229583740234375 9.30289554595953, 41.217014312744254 9.292635917663574, 41.20531845092779 9.286165237426815, 41.19500350952154 9.280865669250545, 41.17957305908203 9.276986122131404, 41.16319656372082 9.275156021118278, 41.147983551025334 9.27242565155035, 41.137485504150334 9.263795852661133, 41.134883880615234 9.250905990600586, 41.129245758056754 9.241656303405762, 41.11952590942394 9.242666244506779, 41.11046600341808 9.245985984802246, 41.10341262817383 9.238315582275447, 41.09591674804693 9.22902870178217, 41.09171295166021 9.215886116027946, 41.09116363525396 9.20578575134283, 41.09457397460943 9.193446159362793, 41.09429550170904 9.180585861206112, 41.087505340576286 9.170625686645621, 41.07390213012701 9.168596267700195, 41.062564849853516 9.170276641845817, 41.05121231079107 9.171946525573787, 41.04061508178711 9.170196533203239, 41.03217315673828 9.162726402282829, 41.02214431762695 9.153406143188533, 41.014625549316406 9.1461763381958, 41.0036239624024 9.14074611663824, 40.99466323852539 9.136716842651424, 40.98894119262695 9.130948066711483, 40.97786331176758 9.138906478881779, 40.963462829589844 9.156856536865234, 40.95365524291992 9.172026634216365, 40.9392929077149 9.195926666259766, 40.927364349365234 9.204926490783805, 40.908794403076115 9.216396331787166, 40.92058181762707 9.225116729736328, 40.9437141418457 9.240106582641602, 40.964824676513786 9.2615261077882, 40.970012664795036 9.280966758728084, 40.974334716796875 9.307056427002067, 40.97354507446295 9.326526641845817, 40.97777557373047 9.339325904846248, 40.97634124755865 9.351964950561467, 40.99608612060547 9.354105949401912, 41.01407623291021 9.357206344604549, 41.030082702636776 9.372455596923942, 41.05648422241211 9.391065597534123, 41.08354568481445 9.40441608428955, 41.114715576171875 9.414055824279785, 41.14544677734375 9.424625396728516, 41.17045593261719 9.441405296325797, 41.19480514526373 9.462295532226562, 41.21157073974621 9.48099327087408, 41.21680450439453 9.476795196533317, 41.22147369384777 9.45502567291254, 41.228145599365234 9.423845291137752, 41.232826232910156 9.402065277099553, 41.245746612548885 9.374515533447322, 41.25936508178705 9.348555564880314, 41.26589202880871 9.32612323760992)))",Oromiya,West Hararge,40902,2,Doba,9.1016,40.8344
"MULTIPOLYGON (((41.18522262573242 8.716826438903752, 41.17943191528332 8.711036682128963, 41.15388488769537 8.70612621307373, 41.130401611328125 8.701886177063102, 41.10120391845703 8.701566696166992, 41.07824325561529 8.708776473999137, 41.05415344238287 8.719186782836857, 41.02267074584955 8.726656913757267, 40.984291076660156 8.733926773071289, 40.952331542968864 8.736356735229549, 40.915992736816406 8.739956855773983, 40.89211273193354 8.749676704406795, 40.883930206298885 8.770787239074707, 40.87670135498047 8.796016693115291, 40.86325073242199 8.822417259216365, 40.859703063964844 8.846957206726188, 40.86351394653326 8.872596740722713, 40.866371154785156 8.890457153320312, 40.864643096923885 8.912226676941032, 40.857173919677734 8.935626983642635, 40.849933624267635 8.959946632385254, 40.84127807617193 8.971734046936035, 40.847579956054744 8.986289024353141, 40.86729049682623 9.009152412414664, 40.88621139526373 9.024919509887809, 40.898036956787166 9.028072357177734, 40.909862518310604 9.024919509887809, 40.92483901977539 9.037532806396598, 40.931148529052734 9.05172348022461, 40.96504592895519 9.084835052490348, 40.98396682739258 9.103755950927678, 40.996582031250114 9.108486175537223, 41.00793838500988 9.117410659790153, 41.02092361450207 9.099976539611873, 41.023063659668026 9.07408618927002, 41.033294677734375 9.052956581115666, 41.05560302734375 9.049406051635856, 41.08855056762701 9.035604476928768, 41.088851928710994 9.0286159515382, 41.08223342895508 9.000946044921932, 41.07725524902355 8.977386474609489, 41.07613372802746 8.943496704101562, 41.075473785400504 8.90983676910406, 41.080791473388786 8.875696182251033, 41.09282302856457 8.847006797790584, 41.114723205566406 8.81507682800293, 41.13620376586914 8.79184627532959, 41.17127227783209 8.770606040954704, 41.17847061157238 8.76530456542963, 41.174571990966854 8.74517631530773, 41.17881393432623 8.723176002502385, 41.18522262573242 8.716826438903752)))",Oromiya,West Hararge,40912,12,Gemechis,9.0793,40.7971
"MULTIPOLYGON (((40.68564605712896 8.87621974945074, 40.68006134033203 8.886427879333496, 40.668361663818416 8.89655780792242, 40.64302062988281 8.894357681274414, 40.614669799804744 8.890347480773869, 40.584239959716854 8.886787414550895, 40.554931640625 8.874748229980582, 40.5274391174317 8.856038093566895, 40.496730804443416 8.83940792083746, 40.47549057006836 8.82869815826416, 40.450592041015625 8.825338363647404, 40.428691864013786 8.821278572082633, 40.413597106933594 8.807796478271484, 40.40946197509771 8.795428276062069, 40.393058776855526 8.781488418579158, 40.38475799560541 8.77638053894043, 40.37405395507824 8.769796371460075, 40.37333679199219 8.78661918640131, 40.37462997436529 8.796509742736873, 40.37548828125006 8.803389549255485, 40.36861038208019 8.827900886535701, 40.371620178222656 8.836501121521053, 40.3711891174317 8.848541259765682, 40.371620178222656 8.864022254943904, 40.3651695251466 8.8726224899292, 40.35871887207037 8.879503250122127, 40.35020828247076 8.887642860412598, 40.35340118408209 8.896518707275447, 40.368461608886776 8.918258666992301, 40.389289855957145 8.938148498535156, 40.40737915039068 8.965838432311955, 40.42451095581066 8.982518196105957, 40.44804000854492 8.987028121948356, 40.47362136840826 8.986477851867619, 40.49370193481457 8.993277549743652, 40.509201049804744 9.00468826293951, 40.52260971069336 9.014957427978572, 40.53812026977545 9.028647422790641, 40.55036163330078 9.034108161926326, 40.56904983520519 9.038618087768555, 40.584770202636776 9.0486478805542, 40.59982299804693 9.06164741516119, 40.61040115356451 9.05862808227539, 40.622673034668026 9.023267745971793, 40.626979827880916 9.008347511291504, 40.64347076416021 8.989027976989746, 40.66596221923828 8.971287727355957, 40.693733215332145 8.95008754730236, 40.703811645507926 8.937897682190055, 40.72126007080078 8.9265975952149, 40.71041488647472 8.900742530822697, 40.71210098266613 8.891337394714412, 40.70906066894531 8.882407188415527, 40.694301605224666 8.8783473968507, 40.68564605712896 8.87621974945074)))",Oromiya,West Hararge,40907,7,Goba Koricha,9.2795,40.9093
"MULTIPOLYGON (((40.68813323974615 8.806237220764217, 40.65870666503906 8.800667762756348, 40.64278030395508 8.791667938232536, 40.63465118408203 8.774968147277775, 40.62142181396496 8.75025749206543, 40.60222244262701 8.730378150940055, 40.58094024658209 8.707978248596191, 40.572570800781364 8.687148094177246, 40.571769714355526 8.659407615661735, 40.576511383056754 8.6353178024292, 40.58678054809582 8.613508224487362, 40.59452056884777 8.590787887573242, 40.598228454589844 8.567277908325252, 40.595729827880916 8.561878204345646, 40.59212875366222 8.56557846069336, 40.56686019897461 8.578718185424748, 40.54000091552746 8.598288536071834, 40.51425933837885 8.61188793182373, 40.4845809936524 8.616558074951229, 40.454429626464844 8.620548248291072, 40.43328857421881 8.632758140563965, 40.4167594909668 8.64999866485607, 40.41102981567383 8.656898498535213, 40.403270721435604 8.67709827423107, 40.39455032348644 8.68583869934082, 40.390190124511776 8.689288139343262, 40.371410369873104 8.710178375244197, 40.37553787231445 8.716398239135856, 40.37559890747076 8.733598709106502, 40.36991882324219 8.754718780517521, 40.37405395507824 8.769796371460075, 40.38475799560541 8.77638053894043, 40.393058776855526 8.781488418579158, 40.40946197509771 8.795428276062069, 40.413597106933594 8.807796478271484, 40.428691864013786 8.821278572082633, 40.450592041015625 8.825338363647404, 40.47549057006836 8.82869815826416, 40.496730804443416 8.83940792083746, 40.5274391174317 8.856038093566895, 40.554931640625 8.874748229980582, 40.584239959716854 8.886787414550895, 40.614669799804744 8.890347480773869, 40.64302062988281 8.894357681274414, 40.668361663818416 8.89655780792242, 40.68006134033203 8.886427879333496, 40.68564605712896 8.87621974945074, 40.684322357177734 8.860507965087947, 40.694641113281364 8.85152721405035, 40.69478225708019 8.834107398986873, 40.688713073730526 8.8148775100708, 40.68813323974615 8.806237220764217)))",Oromiya,West Hararge,40908,8,Habro,8.9829,40.8712
